"External ID","Display Name","Section Name","Action/ID","Code","Domain","Financial Report/ID","Formulas","Group by","Hide If Zero","Is growth good when positive","Parent/ID","Print On New Page","Sequence","Show Domain","Special Date Changer","Type","Level"
"__export__.account_financial_html_report_line_168_aa89cfd9","Aineet ja tarvikkeet","Aineet ja tarvikkeet","","BAVOA","[('account_id.user_type_id', '=', 36)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_131_afca02c8","False","0","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_199_8249fb1a","Pääomalainat","Pääomalainat","","BPVPP","[('account_id.user_type_id', '=', 79)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_146_bbc35a9c","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_163_4adbab87","Saamiset saman konsernin yrityksiltä","Saamiset saman konsernin yrityksiltä","","BASK","[('account_id.user_type_id', '=', 32)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_130_2d9a56aa","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_120_566144b2","VAIHTUVAT VASTAAVAT","VAIHTUVAT VASTAAVAT","","BAV","","__export__.account_financial_html_report_6_d8bdec57","balance = BAVO.balance + BASA.balance + BAR.balance + BARA.balance","","False","True","","False","1","Foldable","Use given dates","Float","1"
"__export__.account_financial_html_report_line_129_5893a919","Aineelliset hyödykkeet","Aineelliset hyödykkeet","","BAA2","","","balance = BAMA.balance + BARR.balance + BAKO.balance + BAHY.balance + BAKE.balance","","False","True","__export__.account_financial_html_report_line_119_d21d2174","False","1","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_132_00212682","Saamiset","Saamiset","","BASA","","","balance = BASP.balance + BASL.balance","","False","True","__export__.account_financial_html_report_line_120_566144b2","False","1","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_136_d8bb74d1","Ylikurssirahasto","Ylikurssirahasto","","BPOY","[('account_id.user_type_id', '=', 65)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_123_b4507ebc","False","1","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_142_d68477d1","Verotusperäiset varaukset","Verotusperäiset varaukset","","BPSV","[('account_id.user_type_id', '=', 75)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_124_8283c509","False","1","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_144_bdc372d1","Verovaraukset","Verovaraukset","","BPPV","[('account_id.user_type_id', '=', 77)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_125_46036b84","False","1","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_147_8d7465f3","Lyhytaikainen","Lyhytaikainen","","BPVL","","","balance = BPVLP.balance + BPVLJ.balance + BPVLV.balance + BPVLL.balance + BPVLT.balance + BPVLE.balance+ BPVLO.balance + BPVLX.balance + BPVLK.balance + BPVLY.balance + BPVLD.balance+ BPVLM.balance + BPVLS.balance","","False","True","__export__.account_financial_html_report_line_126_5e6dec6d","False","1","Foldable","Use given dates","Float","2"
